"Maneuver Number","Segment","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Est./Act. Finite Burn Duration (sec)","Delta V (m/sec)","Fuel Used (kg)"
1,"Sequence0.RetroMnvr",1 Jul 2019 18:22:14.392,1 Jul 2019 18:32:14.392,600.000,600.000,0.053455,0.001
2,"Sequence1.RetroMnvr",1 Jul 2019 20:43:35.802,1 Jul 2019 20:53:35.802,600.000,600.000,0.054546,0.001
3,"Sequence2.RetroMnvr",1 Jul 2019 23:05:14.328,1 Jul 2019 23:15:14.328,600.000,600.000,0.054546,0.001

